"Symbol","Description","Date","Time","Open","High","Low","Close","TotalVolume"
ABBV,NYSE,03.01.2020,13:20:00,88.960,88.965,88.940,88.950,10396
ABBV,NYSE,03.01.2020,13:21:00,88.940,88.950,88.920,88.920,2103
ABBV,NYSE,03.01.2020,13:22:00,88.920,88.935,88.903,88.935,2771
ABBV,NYSE,03.01.2020,13:23:00,88.940,88.960,88.940,88.960,4024
ABBV,NYSE,03.01.2020,13:24:00,88.960,88.985,88.960,88.980,3212
ABBV,NYSE,03.01.2020,13:25:00,88.980,88.990,88.970,88.990,1885
ABBV,NYSE,03.01.2020,13:26:00,88.990,89.010,88.990,89.010,3450
ABBV,NYSE,03.01.2020,13:27:00,89.010,89.020,89.010,89.020,2198
ABBV,NYSE,03.01.2020,13:28:00,89.025,89.040,89.020,89.040,5532
ABBV,NYSE,03.01.2020,13:29:00,89.030,89.060,89.030,89.050,4773
ABBV,NYSE,03.01.2020,13:30:00,89.040,89.040,88.995,89.000,3249
ABBV,NYSE,03.01.2020,13:31:00,89.000,89.020,88.960,88.987,8467
ABBV,NYSE,03.01.2020,13:32:00,88.985,89.045,88.980,89.045,5608
ABBV,NYSE,03.01.2020,13:33:00,89.047,89.060,89.040,89.040,3923
ABBV,NYSE,03.01.2020,13:34:00,89.040,89.040,88.969,88.980,15393
ABBV,NYSE,03.01.2020,13:35:00,88.980,89.010,88.935,88.935,22980
ABBV,NYSE,03.01.2020,13:36:00,88.940,88.970,88.920,88.920,17922
ABBV,NYSE,03.01.2020,13:37:00,88.920,88.930,88.875,88.880,7134
ABBV,NYSE,03.01.2020,13:38:00,88.870,88.870,88.690,88.690,16648
ABBV,NYSE,03.01.2020,13:39:00,88.670,88.750,88.650,88.720,25013
ABBV,NYSE,03.01.2020,13:40:00,88.730,88.860,88.730,88.840,14271
ABBV,NYSE,03.01.2020,13:41:00,88.850,88.910,88.850,88.880,10405
ABBV,NYSE,03.01.2020,13:42:00,88.890,88.890,88.830,88.830,9013
ABBV,NYSE,03.01.2020,13:43:00,88.800,88.810,88.790,88.810,1900
ABBV,NYSE,03.01.2020,13:44:00,88.790,88.850,88.780,88.850,9020
ABBV,NYSE,03.01.2020,13:45:00,88.870,88.880,88.850,88.855,5206
ABBV,NYSE,03.01.2020,13:46:00,88.880,88.880,88.850,88.870,2926
ABBV,NYSE,03.01.2020,13:47:00,88.860,88.860,88.800,88.850,3004
ABBV,NYSE,03.01.2020,13:48:00,88.840,88.850,88.820,88.820,3373
ABBV,NYSE,03.01.2020,13:49:00,88.840,88.900,88.826,88.900,7157
ABBV,NYSE,03.01.2020,13:50:00,88.890,88.910,88.871,88.891,4644
ABBV,NYSE,03.01.2020,13:51:00,88.900,88.900,88.820,88.830,41457
ABBV,NYSE,03.01.2020,13:52:00,88.831,88.860,88.800,88.830,10381
ABBV,NYSE,03.01.2020,13:53:00,88.830,88.870,88.829,88.850,4102
ABBV,NYSE,03.01.2020,13:54:00,88.850,88.870,88.843,88.850,2955
ABBV,NYSE,03.01.2020,13:55:00,88.845,88.850,88.770,88.780,2931
ABBV,NYSE,03.01.2020,13:56:00,88.805,88.805,88.719,88.720,2608
ABBV,NYSE,03.01.2020,13:57:00,88.730,88.730,88.700,88.720,2917
ABBV,NYSE,03.01.2020,13:58:00,88.710,88.710,88.680,88.685,7649
ABBV,NYSE,03.01.2020,13:59:00,88.690,88.720,88.690,88.690,3214
ABBV,NYSE,03.01.2020,14:00:00,88.720,88.720,88.700,88.710,3914
ABBV,NYSE,03.01.2020,14:01:00,88.720,88.770,88.700,88.750,5820
ABBV,NYSE,03.01.2020,14:02:00,88.760,88.790,88.754,88.770,6625
ABBV,NYSE,03.01.2020,14:03:00,88.760,88.760,88.740,88.750,18265
ABBV,NYSE,03.01.2020,14:04:00,88.750,88.760,88.690,88.690,39212
ABBV,NYSE,03.01.2020,14:05:00,88.707,88.707,88.610,88.610,6527
ABBV,NYSE,03.01.2020,14:06:00,88.620,88.640,88.590,88.620,7506
ABBV,NYSE,03.01.2020,14:07:00,88.625,88.680,88.620,88.625,13062
ABBV,NYSE,03.01.2020,14:08:00,88.610,88.630,88.580,88.620,6082
ABBV,NYSE,03.01.2020,14:09:00,88.630,88.630,88.590,88.590,1923
ABBV,NYSE,03.01.2020,14:10:00,88.590,88.660,88.580,88.645,6010
ABBV,NYSE,03.01.2020,14:11:00,88.628,88.680,88.620,88.680,3930
ABBV,NYSE,03.01.2020,14:12:00,88.681,88.720,88.672,88.710,7481
ABBV,NYSE,03.01.2020,14:13:00,88.690,88.760,88.690,88.750,3011
ABBV,NYSE,03.01.2020,14:14:00,88.731,88.740,88.695,88.710,4371
ABBV,NYSE,03.01.2020,14:15:00,88.720,88.720,88.680,88.700,7206
ABBV,NYSE,03.01.2020,14:16:00,88.690,88.731,88.690,88.721,5800
ABBV,NYSE,03.01.2020,14:17:00,88.730,88.750,88.730,88.733,4238
ABBV,NYSE,03.01.2020,14:18:00,88.750,88.763,88.712,88.712,4224
ABBV,NYSE,03.01.2020,14:19:00,88.729,88.730,88.700,88.700,1504
ABBV,NYSE,03.01.2020,14:20:00,88.719,88.720,88.690,88.700,7019
ABBV,NYSE,03.01.2020,14:21:00,88.700,88.730,88.695,88.720,4245
ABBV,NYSE,03.01.2020,14:22:00,88.740,88.765,88.730,88.730,4002
ABBV,NYSE,03.01.2020,14:23:00,88.734,88.734,88.710,88.730,3485
ABBV,NYSE,03.01.2020,14:24:00,88.730,88.750,88.730,88.750,800
ABBV,NYSE,03.01.2020,14:25:00,88.760,88.770,88.750,88.755,4404
ABBV,NYSE,03.01.2020,14:26:00,88.750,88.760,88.720,88.740,5623
ABBV,NYSE,03.01.2020,14:27:00,88.731,88.770,88.730,88.770,2613
ABBV,NYSE,03.01.2020,14:28:00,88.775,88.775,88.730,88.757,4337
ABBV,NYSE,03.01.2020,14:29:00,88.745,88.760,88.740,88.745,1300
ABBV,NYSE,03.01.2020,14:30:00,88.742,88.760,88.729,88.750,4758
